IUPAC names,SMILES,InChI,InChIKeys,Mr Molecular mass,Number of N,Solvent,DOI
piperidin-4-amine,C1CNCCC1N,"InChI=1S/C5H12N2/c6-5-1-3-7-4-2-5/h5,7H,1-4,6H2",BCIIMDOZSUCSEN-UHFFFAOYSA-N,114.19,2,4-aminopiperidine,
"(2R,5S)-2,5-dimethylpiperazine",C[C@@H]1CN[C@H](CN1)C,"InChI=1S/C6H14N2/c1-5-3-8-6(2)4-7-5/h5-8H,3-4H2,1-2H3/t5-,6+",NSMWYRLQHIXVAP-OLQVQODUSA-N,130.19,2,"trans-2,5-Dimethylpiperazine",
1-ethylpiperazine,CCN1CCNCC1,"InChI=1S/C6H14N2/c1-2-8-5-3-7-4-6-8/h7H,2-6H2,1H3",WGCYRFWNGRMRJA-UHFFFAOYSA-N,79.1,2,N-ethylpiperazine,
pyridine,C1=CC=NC=C1,InChI=1S/C5H5N/c1-2-4-6-5-3-1/h1-5H,JUJWROOIHBZHMG-UHFFFAOYSA-N,93.13,1,Pyridine,
pyridin-2-amine,C1=CC=NC(=C1)N,"InChI=1S/C5H6N2/c6-5-3-1-2-4-7-5/h1-4H,(H2,6,7)",ICSNLGPSRYBMBD-UHFFFAOYSA-N,80.09,2,2-Pyridylamine,
"2,5-dimethylpyridine",CC1=CN=C(C=C1)C,"InChI=1S/C7H9N/c1-6-3-4-7(2)8-5-6/h3-5H,1-2H3",XWKFPIODWVPXLX-UHFFFAOYSA-N,94.11,1,"2,5-Lutidine",
2-methylpyridine,CC1=CC=CC=N1,"InChI=1S/C6H7N/c1-6-4-2-3-5-7-6/h2-5H,1H3",BSKHPKMHTQYZBB-UHFFFAOYSA-N,108.14,1,2-Methyl pyridine,
pyrazine,C1=CN=CC=N1,InChI=1S/C4H4N2/c1-2-6-4-3-5-1/h1-4H,KYQCOXFCLRTKLS-UHFFFAOYSA-N,95.1,2,pyrazine,
2-methylpyrazine,CC1=NC=CN=C1,"InChI=1S/C5H6N2/c1-5-4-6-2-3-7-5/h2-4H,1H3",CAWHJQAVHZEVTJ-UHFFFAOYSA-N,57.09,2,2-methyl pyrazine,
"2,5-dimethylpyrazine",CC1=CN=C(C=N1)C,"InChI=1S/C6H8N2/c1-5-3-8-6(2)4-7-5/h3-4H,1-2H3",LCZUOKDVTBMCMX-UHFFFAOYSA-N,112.17,2,"2,5-dimethyl pyrazine",
pyrazin-2-amine,C1=CN=C(C=N1)N,"InChI=1S/C4H5N3/c5-4-3-6-1-2-7-4/h1-3H,(H2,5,7)",XFTQRUTUGRCSGO-UHFFFAOYSA-N,95.1,3,aminopyrazine,
azetidine,C1CNC1,"InChI=1S/C3H7N/c1-2-4-3-1/h4H,1-3H2",HONIICLYMWZJFZ-UHFFFAOYSA-N,57.09,1,Azetidine,
"1,4-diazabicyclo[2.2.2]octane",C1CN2CCN1CC2,InChI=1S/C6H12N2/c1-2-8-5-3-7(1)4-6-8/h1-6H2,IMNIMPAHZVJRPE-UHFFFAOYSA-N,112.17,2,"1,4-diazabicyclo[2,2,2]octane",
"N,N-diethylethanamine",CCN(CC)CC,"InChI=1S/C6H15N/c1-4-7(5-2)6-3/h4-6H2,1-3H3",ZMANZCXQSJIPKH-UHFFFAOYSA-N,101.1204495,1,TEA,https://doi.org/10.1021/ie400825u
2-piperidin-1-ylethanol,OCCN1CCCCC1,"InChI=1S/C7H15NO/c9-7-6-8-4-2-1-3-5-8/h9H,1-7H2",KZTWONRVIPPDKH-UHFFFAOYSA-N,129.1153641,1,1-(2HE)PP,https://doi.org/10.1021/ie400825u
1-ethylpyrrolidin-3-ol,CCN1CCC(C1)O,"InChI=1S/C6H13NO/c1-2-7-4-3-6(8)5-7/h6,8H,2-5H2,1H3",IDBNECMSCRAUNU-UHFFFAOYSA-N,115.099714,1,1E-eHPP,https://doi.org/10.1021/ie400825u
"1-(1,3-benzodioxol-5-yl)-N-ethylpropan-2-amine",CCNC(C)CC1=CC2=C(C=C1)OCO2,"InChI=1S/C12H17NO2/c1-3-13-9(2)6-10-4-5-11-12(7-10)15-8-14-11/h4-5,7,9,13H,3,6,8H2,1-2H3",PVXVWWANJIWJOO-UHFFFAOYSA-N,207.1259288,1,MDEA,https://doi.org/10.1021/ie400825u
piperidin-4-amine,[NH]1CCC([NH2])CC1,"InChI=1S/C5H12N2/c6-5-1-3-7-4-2-5/h5,7H,1-4,6H2",BCIIMDOZSUCSEN-UHFFFAOYSA-N,100.1000484,2,1,https://doi.org/10.1021/acs.energyfuels.6b00875
piperidin-4-ylmethanamine,[NH]1CCC(C[NH2])CC1,"InChI=1S/C6H14N2/c7-5-6-1-3-8-4-2-6/h6,8H,1-5,7H2",LTEKQAPRXFBRNN-UHFFFAOYSA-N,114.1156984,2,2,https://doi.org/10.1021/acs.energyfuels.6b00875
N-ethylpiperidin-4-amine,[NH]1CCC([NH]CC)CC1,"InChI=1S/C7H16N2/c1-2-9-7-3-5-8-6-4-7/h7-9H,2-6H2,1H3",VARJMVYCDHQKCG-UHFFFAOYSA-N,128.1313485,2,3a,https://doi.org/10.1021/acs.energyfuels.6b00875
